product_id,product_name,category_id,supplier_id,unit_price
293,Office Chair 293,4,5,20430.88
294,Laptop 294,1,1,55184.47
295,Webcam 295,5,5,35135.48
296,Hard Disk 296,3,2,60833.16
297,Keyboard 297,4,4,57703.22
298,Mouse 298,2,4,50870.69
299,Router 299,1,5,29778.06
300,Desktop 300,5,3,87673.25
301,Hard Disk 301,5,3,69572.09
302,Office Chair 302,5,4,77111.74
303,SSD 303,3,4,68318.67
304,Tablet 304,5,1,48456.03
305,Mouse 305,1,4,63549.35
306,Keyboard 306,2,3,41536.38
307,Printer 307,5,5,1467.46
308,Hard Disk 308,3,2,29085.31
309,Office Chair 309,3,1,55677.87
310,Monitor 310,4,3,35677.02
311,Tablet 311,5,3,18687.05
312,Webcam 312,2,4,73842.67
313,Keyboard 313,2,3,21074.47
314,Keyboard 314,2,5,35924.72
315,SSD 315,1,1,92058.72
316,Headphones 316,4,5,1159.06
317,Hard Disk 317,5,1,84877.05
318,Printer 318,5,3,49487.87
319,Tablet 319,5,3,49335.13
320,SSD 320,5,3,40089.01
321,SSD 321,5,2,5887.74
322,SSD 322,4,4,93995.61
323,Laptop 323,5,3,39674.83
324,Headphones 324,2,4,97662.47
325,Webcam 325,5,4,31907.3
326,Laptop 326,1,2,38253.09
327,Desktop 327,3,3,61471.42
328,Mouse 328,2,5,26653.48
329,Mouse 329,4,5,34638.1
330,Monitor 330,4,4,21447.98
331,Webcam 331,3,3,85505.45
332,Mouse 332,4,2,57355.27
333,USB Hub 333,2,1,72221.14
334,SSD 334,2,5,43505.77
335,Office Chair 335,2,2,80103.73
336,Webcam 336,2,4,80664.0
337,Monitor 337,4,4,13879.93
338,Tablet 338,5,5,72195.75
339,SSD 339,4,3,25471.92
340,Hard Disk 340,5,1,40140.99
341,Webcam 341,2,1,21939.0
342,Mouse 342,4,1,45260.55
343,Printer 343,3,3,36350.5
344,Router 344,3,3,2473.62
345,Desktop 345,3,5,20296.33
346,USB Hub 346,5,2,97947.63
347,Mouse 347,3,3,67482.69
348,Desk 348,4,1,38416.56
349,Mouse 349,4,2,86891.64
350,Headphones 350,3,4,63311.7
351,USB Hub 351,4,1,8371.64
352,Printer 352,2,3,32029.39
353,Mouse 353,3,5,64642.11
354,Mouse 354,4,3,74915.6
355,Router 355,4,4,17148.15
356,Hard Disk 356,1,2,72913.36
357,Headphones 357,3,1,21451.86
358,Office Chair 358,1,1,6847.34
359,Tablet 359,4,5,5855.63
360,SSD 360,4,5,76617.14
361,Desktop 361,1,3,62001.17
362,Desktop 362,4,3,23320.92
363,Webcam 363,3,4,62834.83
364,Monitor 364,5,2,3342.84
365,Headphones 365,3,3,86491.99
366,Desk 366,5,3,55080.25
367,Monitor 367,5,2,59287.68
368,Desk 368,5,4,52584.25
369,Headphones 369,5,3,90937.85
370,Desk 370,5,2,80568.42
371,Desk 371,3,3,41514.28
372,Monitor 372,3,1,509.19
373,Hard Disk 373,2,3,29032.84
374,Router 374,1,4,94722.27
375,Desk 375,3,1,76703.99
376,SSD 376,3,5,23505.93
377,Laptop 377,5,3,19262.81
378,Tablet 378,5,4,39777.83
379,Monitor 379,4,4,22448.95
380,Desktop 380,4,2,51902.7
381,SSD 381,5,3,28825.35
382,Webcam 382,5,3,41583.94
383,Hard Disk 383,1,2,14094.09
384,Desktop 384,4,5,45550.34
385,Webcam 385,5,4,19185.05
386,Laptop 386,2,1,96986.76
387,Laptop 387,2,1,28570.4
388,Monitor 388,4,1,23664.64
389,Monitor 389,1,4,22110.21
390,Office Chair 390,3,4,99797.36
391,Desk 391,1,3,8482.2
392,SSD 392,2,1,27017.11
393,Office Chair 393,1,5,47279.6
394,Keyboard 394,3,4,82911.08
395,Desktop 395,2,4,77236.92
396,Desk 396,2,1,20318.4
397,Webcam 397,1,5,66767.78
398,Keyboard 398,4,4,68303.51
399,Mouse 399,3,2,63101.84
400,Laptop 400,5,5,12653.08
401,Desk 401,3,2,36362.45
402,Laptop 402,2,1,23978.6
403,Office Chair 403,3,1,17152.36
404,Mouse 404,5,1,39882.93
405,Keyboard 405,1,1,58317.16
406,Webcam 406,4,5,15921.7
407,SSD 407,1,2,16191.0
408,Desktop 408,5,3,93119.45
409,SSD 409,1,1,35874.01
410,Monitor 410,5,1,13019.83
411,Keyboard 411,3,5,78961.9
412,SSD 412,3,4,73452.29
413,Laptop 413,4,3,72577.72
414,Mouse 414,1,4,70809.28
415,Router 415,3,5,69855.26
416,Keyboard 416,5,2,54590.24
417,Printer 417,4,3,86832.35
418,USB Hub 418,5,2,7353.22
419,Monitor 419,4,3,82032.15
420,Router 420,3,4,571.62
421,Headphones 421,5,4,73498.95
422,Tablet 422,1,5,85754.51
423,SSD 423,5,2,32409.06
424,Desktop 424,5,4,19392.01
425,Headphones 425,4,5,15836.09
426,Mouse 426,3,4,64269.94
427,Desktop 427,1,5,66059.66
428,Laptop 428,2,2,87412.53
429,Keyboard 429,1,4,19565.86
430,Laptop 430,5,4,65963.17
431,Router 431,5,5,25965.88
432,Printer 432,2,5,71925.6
433,Laptop 433,2,4,92876.17
434,Hard Disk 434,1,4,80201.48
435,Laptop 435,3,5,74476.01
436,Tablet 436,4,3,79527.83
437,Laptop 437,5,3,53137.57
438,Webcam 438,1,3,8254.57
439,Keyboard 439,5,1,10571.9
440,Keyboard 440,5,4,19351.31
441,Router 441,2,5,62719.84
442,Monitor 442,5,5,41810.87
443,Desktop 443,5,3,67612.01
444,Webcam 444,4,1,17097.53
445,Monitor 445,5,4,50716.93
446,Headphones 446,2,5,99844.14
447,Desk 447,3,3,55233.09
448,Printer 448,3,4,76536.34
449,Office Chair 449,3,5,24451.89
450,Router 450,2,4,76687.97
451,Tablet 451,3,3,96184.35
452,Desk 452,4,1,72768.17
453,Mouse 453,5,1,52002.13
454,Tablet 454,3,1,30383.23
455,Keyboard 455,2,3,2659.29
456,Hard Disk 456,3,5,51371.51
457,USB Hub 457,5,2,9881.57
458,Desk 458,3,2,14271.62
459,Printer 459,5,2,23682.92
460,SSD 460,3,1,57263.47
461,USB Hub 461,2,1,72496.26
462,SSD 462,4,2,49083.5
463,Tablet 463,5,1,59725.5
464,Mouse 464,1,5,38463.84
465,SSD 465,1,3,35119.06
466,Hard Disk 466,4,4,93059.49
467,Desktop 467,2,5,92900.99
468,Headphones 468,4,1,30825.95
469,Laptop 469,3,5,56708.83
470,Printer 470,5,2,15743.15
471,Headphones 471,4,4,75407.6
472,USB Hub 472,5,1,22597.52
473,Mouse 473,4,2,13652.81
474,Desktop 474,4,5,74658.85
475,Router 475,4,3,8965.36
476,Router 476,4,2,76322.28
477,Desk 477,5,2,49042.18
478,Headphones 478,5,2,56336.18
479,Webcam 479,5,2,24610.35
480,Mouse 480,4,3,68631.43
481,USB Hub 481,1,1,67338.88
482,Office Chair 482,3,3,19453.73
483,Printer 483,5,1,77083.29
484,Monitor 484,3,5,82247.61
485,SSD 485,4,5,15008.94
486,Laptop 486,2,2,68693.24
487,Monitor 487,1,1,74088.37
488,Keyboard 488,5,2,86940.86
489,Hard Disk 489,3,1,34655.5
490,SSD 490,1,3,45281.13
491,Laptop 491,3,2,74131.29
492,Keyboard 492,2,5,52564.96
493,Mouse 493,5,4,62492.68
494,Monitor 494,1,4,58508.99
495,Headphones 495,5,1,25917.91
496,Laptop 496,3,2,79024.26
497,USB Hub 497,3,1,46763.6
498,Laptop 498,1,4,66207.1
499,Headphones 499,3,1,2398.29
500,Hard Disk 500,4,2,97989.39
