order_id,customer_id,order_date,order_status,payment_method,payment_status
78,653,2026-02-17,Pending,UPI,Failed
79,707,2025-04-14,Cancelled,Debit Card,Paid
80,308,2025-06-07,Cancelled,UPI,Paid
81,342,2025-12-18,Cancelled,Cash,Failed
82,631,2025-10-19,Completed,Credit Card,Paid
83,854,2025-06-19,Cancelled,Cash,Pending
84,37,2026-02-13,Pending,Cash,Paid
85,472,2025-11-18,Cancelled,Cash,Pending
86,761,2026-04-21,Completed,Net Banking,Pending
87,743,2025-10-17,Cancelled,Net Banking,Failed
88,214,2025-01-10,Cancelled,Debit Card,Paid
89,153,2026-05-12,Cancelled,UPI,Pending
90,642,2025-07-12,Pending,Net Banking,Failed
91,192,2025-07-19,Completed,Debit Card,Failed
92,323,2026-03-16,Completed,Debit Card,Pending
93,509,2025-02-14,Pending,Debit Card,Pending
94,974,2026-03-01,Cancelled,Credit Card,Failed
95,180,2025-06-04,Completed,Debit Card,Paid
96,207,2026-02-03,Completed,Cash,Failed
97,819,2025-01-13,Shipped,Net Banking,Paid
98,349,2025-04-08,Shipped,Net Banking,Pending
99,336,2026-02-02,Pending,UPI,Failed
100,136,2025-12-13,Pending,UPI,Pending
101,731,2025-07-18,Completed,UPI,Pending
102,46,2026-04-23,Completed,Debit Card,Pending
103,48,2026-04-01,Completed,Net Banking,Failed
104,320,2026-01-17,Completed,Net Banking,Pending
105,914,2025-11-24,Pending,Debit Card,Paid
106,294,2025-04-09,Cancelled,Net Banking,Pending
107,452,2026-01-31,Completed,Debit Card,Paid
108,281,2025-03-22,Completed,UPI,Failed
109,527,2025-10-14,Completed,Credit Card,Failed
110,563,2025-06-29,Cancelled,Debit Card,Paid
111,722,2026-04-28,Cancelled,Net Banking,Paid
112,73,2025-03-29,Cancelled,Net Banking,Pending
113,455,2025-10-04,Completed,Credit Card,Paid
114,925,2025-08-30,Completed,UPI,Pending
115,89,2025-01-28,Shipped,Cash,Paid
116,611,2025-12-27,Shipped,Net Banking,Pending
117,341,2025-06-09,Pending,Net Banking,Paid
118,945,2026-05-14,Shipped,Net Banking,Paid
119,833,2025-02-17,Shipped,UPI,Pending
120,701,2025-06-08,Shipped,Cash,Paid
121,230,2026-05-01,Pending,Net Banking,Pending
122,373,2026-04-13,Shipped,Credit Card,Failed
123,682,2026-04-15,Cancelled,Debit Card,Pending
124,31,2025-09-07,Completed,Cash,Paid
125,491,2025-06-29,Shipped,Credit Card,Pending
126,357,2026-01-29,Pending,Net Banking,Paid
127,838,2025-07-27,Completed,Debit Card,Failed
128,73,2025-11-29,Cancelled,Net Banking,Pending
129,605,2025-07-25,Shipped,Credit Card,Failed
130,562,2025-05-05,Pending,Cash,Pending
131,349,2025-02-03,Pending,Net Banking,Pending
132,446,2026-02-06,Cancelled,Net Banking,Failed
133,178,2025-05-01,Completed,Net Banking,Pending
134,607,2025-02-28,Shipped,Debit Card,Failed
135,842,2025-02-19,Shipped,Credit Card,Pending
136,416,2026-05-05,Completed,Net Banking,Paid
137,834,2025-12-17,Shipped,Debit Card,Pending
138,677,2025-11-27,Completed,UPI,Paid
139,143,2026-02-23,Completed,Credit Card,Failed
140,464,2025-03-18,Cancelled,Cash,Failed
141,458,2025-10-23,Pending,Credit Card,Failed
142,325,2026-03-26,Cancelled,Net Banking,Failed
143,941,2025-06-05,Shipped,Debit Card,Paid
144,9,2025-10-26,Shipped,Credit Card,Pending
145,379,2025-02-01,Completed,UPI,Failed
146,841,2025-10-14,Cancelled,UPI,Pending
147,32,2026-03-20,Pending,Cash,Failed
148,404,2025-10-30,Cancelled,Cash,Pending
149,446,2025-07-15,Pending,Credit Card,Pending
150,193,2025-03-13,Shipped,Debit Card,Pending
151,296,2025-03-20,Pending,Credit Card,Paid
152,664,2025-02-06,Completed,Credit Card,Failed
153,499,2026-03-30,Shipped,Credit Card,Paid
154,658,2025-03-12,Shipped,Cash,Failed
155,953,2025-11-06,Shipped,Net Banking,Paid
156,522,2025-08-21,Shipped,Net Banking,Pending
157,364,2025-07-16,Pending,Credit Card,Pending
158,8,2025-11-06,Shipped,Credit Card,Failed
159,276,2025-09-14,Shipped,Net Banking,Failed
160,35,2025-07-07,Completed,Net Banking,Pending
161,378,2025-12-27,Completed,Net Banking,Pending
162,708,2026-05-08,Completed,Credit Card,Failed
163,540,2026-01-10,Cancelled,Cash,Failed
164,536,2025-02-10,Completed,Credit Card,Pending
165,760,2025-11-19,Completed,Net Banking,Failed
166,628,2025-06-09,Completed,Debit Card,Failed
167,12,2026-02-03,Shipped,Cash,Failed
168,481,2026-04-09,Cancelled,Cash,Pending
169,818,2026-05-07,Cancelled,Debit Card,Paid
170,712,2025-01-19,Cancelled,Net Banking,Pending
171,645,2025-02-01,Shipped,Net Banking,Paid
172,53,2025-10-21,Cancelled,Net Banking,Paid
173,497,2025-05-27,Completed,Credit Card,Failed
174,872,2025-02-09,Cancelled,Debit Card,Paid
175,288,2025-11-12,Cancelled,Debit Card,Paid
176,115,2026-01-15,Pending,Net Banking,Failed
177,675,2025-03-19,Shipped,Debit Card,Paid
178,802,2025-05-14,Pending,Cash,Paid
179,541,2026-02-14,Completed,Debit Card,Paid
180,149,2026-05-11,Pending,Cash,Pending
181,393,2026-01-30,Pending,Cash,Failed
182,172,2025-11-23,Pending,Net Banking,Failed
183,354,2026-03-08,Completed,Debit Card,Paid
184,172,2025-01-27,Shipped,Cash,Pending
185,488,2025-06-04,Pending,Cash,Failed
186,400,2025-12-28,Shipped,Debit Card,Paid
187,892,2025-09-29,Shipped,UPI,Pending
188,817,2026-04-20,Shipped,Cash,Failed
189,985,2025-06-11,Completed,UPI,Failed
190,363,2025-11-23,Shipped,Net Banking,Failed
191,280,2026-03-16,Cancelled,Debit Card,Pending
192,101,2026-02-15,Cancelled,Net Banking,Pending
193,792,2025-08-25,Pending,Net Banking,Paid
194,346,2025-09-24,Pending,Debit Card,Failed
195,689,2025-01-06,Completed,UPI,Paid
196,101,2025-07-30,Completed,Cash,Pending
197,743,2025-04-23,Cancelled,Debit Card,Paid
198,25,2025-01-18,Completed,UPI,Failed
199,916,2025-12-03,Pending,Net Banking,Failed
200,726,2025-03-04,Completed,UPI,Failed
201,385,2025-03-08,Pending,UPI,Failed
202,260,2025-04-05,Cancelled,Cash,Failed
203,78,2026-04-25,Shipped,Debit Card,Pending
204,926,2025-12-21,Cancelled,Debit Card,Paid
205,76,2026-02-04,Cancelled,UPI,Pending
206,341,2025-07-18,Completed,Debit Card,Pending
207,452,2025-04-02,Completed,Cash,Paid
208,403,2025-11-09,Pending,Cash,Paid
209,554,2025-03-15,Shipped,Credit Card,Failed
210,109,2025-11-26,Shipped,Debit Card,Paid
211,75,2025-01-18,Completed,Net Banking,Failed
212,796,2025-05-09,Shipped,UPI,Pending
213,669,2025-03-18,Completed,UPI,Failed
214,273,2025-07-19,Pending,Debit Card,Pending
215,4,2025-10-22,Shipped,Cash,Pending
216,865,2025-07-26,Completed,Net Banking,Paid
217,394,2025-01-02,Shipped,UPI,Failed
218,958,2025-10-02,Cancelled,Debit Card,Failed
219,411,2025-06-05,Completed,UPI,Pending
220,874,2025-10-01,Cancelled,UPI,Pending
221,785,2026-01-25,Cancelled,Credit Card,Paid
222,41,2025-10-11,Shipped,Credit Card,Pending
223,400,2025-12-23,Completed,Debit Card,Pending
224,907,2025-02-13,Shipped,Credit Card,Paid
225,198,2025-01-19,Completed,Net Banking,Paid
226,399,2025-09-08,Completed,Net Banking,Failed
227,512,2025-06-07,Shipped,UPI,Paid
228,58,2025-06-23,Cancelled,UPI,Pending
229,217,2025-03-02,Shipped,Net Banking,Paid
230,594,2026-01-15,Pending,UPI,Paid
231,145,2026-01-12,Shipped,UPI,Pending
232,941,2026-04-10,Completed,Credit Card,Failed
233,134,2025-11-29,Completed,Credit Card,Failed
234,927,2025-01-26,Cancelled,UPI,Pending
235,175,2025-11-09,Completed,UPI,Paid
236,610,2025-09-12,Pending,UPI,Paid
237,346,2025-08-07,Shipped,Debit Card,Paid
238,701,2026-05-15,Pending,Debit Card,Paid
239,47,2026-01-27,Pending,Debit Card,Paid
240,281,2025-03-03,Pending,Cash,Paid
241,379,2025-12-23,Pending,Cash,Paid
242,596,2026-04-19,Completed,Credit Card,Paid
243,868,2026-02-10,Shipped,Credit Card,Paid
244,499,2026-03-27,Completed,UPI,Paid
245,949,2025-04-02,Completed,Net Banking,Pending
246,711,2025-08-02,Shipped,Credit Card,Paid
247,656,2025-03-15,Cancelled,Net Banking,Pending
248,245,2025-07-30,Pending,Net Banking,Failed
249,611,2025-01-20,Pending,Cash,Failed
250,91,2026-05-02,Cancelled,Debit Card,Pending
251,572,2025-01-03,Pending,Credit Card,Paid
252,98,2025-09-29,Cancelled,Net Banking,Failed
253,476,2025-04-23,Pending,Debit Card,Paid
254,116,2025-04-10,Pending,Cash,Pending
255,164,2025-04-01,Completed,UPI,Failed
256,292,2025-07-06,Pending,Cash,Pending
257,632,2025-06-21,Shipped,UPI,Paid
258,54,2026-01-15,Pending,Credit Card,Paid
259,528,2025-09-06,Completed,UPI,Paid
260,456,2026-01-05,Cancelled,Cash,Paid
261,694,2026-01-18,Cancelled,Credit Card,Paid
262,234,2025-06-16,Completed,Credit Card,Failed
263,891,2025-07-31,Pending,Cash,Paid
264,483,2025-02-07,Shipped,UPI,Pending
265,222,2025-03-16,Shipped,Credit Card,Pending
266,140,2025-07-11,Shipped,Credit Card,Failed
267,999,2025-07-03,Cancelled,Credit Card,Pending
268,33,2025-03-07,Completed,Debit Card,Paid
269,873,2025-02-26,Shipped,Cash,Pending
270,779,2025-03-29,Cancelled,Credit Card,Pending
271,161,2025-11-06,Pending,Net Banking,Failed
272,236,2026-03-14,Completed,Cash,Failed
273,883,2025-09-08,Pending,Net Banking,Pending
274,474,2026-03-05,Cancelled,UPI,Failed
275,754,2025-08-08,Pending,Credit Card,Pending
276,594,2025-08-11,Pending,Net Banking,Paid
277,588,2026-04-13,Completed,Cash,Paid
278,482,2025-01-21,Completed,Cash,Failed
279,491,2025-07-21,Completed,Cash,Pending
280,86,2025-05-04,Completed,Cash,Paid
281,368,2025-03-09,Cancelled,Credit Card,Failed
282,17,2025-02-16,Shipped,Debit Card,Paid
283,471,2025-12-27,Completed,Cash,Pending
284,142,2026-01-31,Shipped,Credit Card,Pending
285,476,2025-11-17,Completed,UPI,Pending
286,708,2026-04-03,Cancelled,Net Banking,Paid
287,437,2025-06-01,Cancelled,Net Banking,Failed
288,814,2025-10-22,Pending,UPI,Failed
289,344,2026-03-27,Completed,Net Banking,Failed
290,910,2025-07-06,Completed,UPI,Pending
291,477,2025-07-07,Completed,Debit Card,Pending
292,664,2025-03-31,Completed,Net Banking,Failed
293,210,2026-02-01,Pending,Debit Card,Paid
294,117,2025-10-04,Shipped,Net Banking,Failed
295,772,2025-04-18,Pending,Debit Card,Pending
296,274,2026-04-05,Shipped,Debit Card,Paid
297,382,2025-02-02,Cancelled,Cash,Pending
298,540,2025-09-14,Completed,Cash,Failed
299,695,2025-09-30,Cancelled,Cash,Failed
300,820,2025-07-08,Completed,Credit Card,Pending
301,83,2025-02-14,Shipped,Credit Card,Pending
302,980,2026-05-06,Completed,UPI,Paid
303,115,2025-05-22,Pending,Cash,Paid
304,210,2026-03-24,Completed,Debit Card,Pending
305,699,2026-05-12,Pending,Cash,Pending
306,455,2025-08-04,Completed,Debit Card,Paid
307,23,2025-02-02,Pending,Net Banking,Failed
308,422,2025-06-21,Cancelled,Debit Card,Pending
309,682,2025-10-31,Shipped,Cash,Pending
310,136,2025-10-18,Cancelled,Credit Card,Pending
311,496,2025-04-27,Cancelled,Debit Card,Paid
312,362,2025-03-17,Cancelled,Cash,Paid
313,947,2025-11-13,Pending,Net Banking,Pending
314,997,2025-04-04,Pending,Credit Card,Paid
315,120,2025-05-02,Completed,Debit Card,Failed
316,452,2025-03-06,Cancelled,Debit Card,Paid
317,576,2025-04-16,Completed,Debit Card,Pending
318,382,2025-03-17,Shipped,Net Banking,Paid
319,309,2025-10-01,Completed,UPI,Pending
320,512,2026-04-22,Pending,Cash,Pending
321,5,2025-03-21,Cancelled,Debit Card,Pending
322,297,2026-04-04,Pending,Net Banking,Failed
323,945,2026-04-10,Shipped,Debit Card,Failed
324,750,2025-02-27,Shipped,UPI,Paid
325,565,2025-12-14,Completed,Debit Card,Paid
326,633,2025-07-25,Pending,Cash,Pending
327,335,2025-02-17,Completed,Net Banking,Failed
328,598,2025-04-10,Pending,Debit Card,Paid
329,86,2025-01-12,Shipped,UPI,Failed
330,200,2025-07-21,Shipped,Debit Card,Failed
331,524,2025-11-06,Completed,Debit Card,Pending
332,734,2025-03-17,Shipped,Debit Card,Pending
333,13,2025-07-10,Cancelled,Debit Card,Pending
334,457,2025-06-07,Completed,Credit Card,Failed
335,455,2026-03-31,Shipped,Cash,Pending
336,826,2025-03-25,Shipped,Cash,Paid
337,602,2026-03-04,Completed,Credit Card,Paid
338,487,2025-06-05,Cancelled,UPI,Failed
339,385,2026-01-23,Completed,UPI,Pending
340,937,2025-11-24,Cancelled,Cash,Paid
341,474,2025-10-12,Pending,Credit Card,Paid
342,391,2026-03-03,Cancelled,Net Banking,Pending
343,843,2025-01-22,Cancelled,Net Banking,Pending
344,573,2025-09-10,Shipped,Credit Card,Paid
345,3,2026-02-10,Pending,Debit Card,Pending
346,656,2026-05-05,Shipped,UPI,Failed
347,915,2025-12-07,Cancelled,Cash,Paid
348,929,2025-09-09,Pending,UPI,Paid
349,284,2026-01-27,Shipped,UPI,Failed
350,371,2026-01-17,Shipped,Net Banking,Pending
351,265,2026-03-21,Shipped,UPI,Pending
352,751,2025-09-20,Completed,Debit Card,Paid
353,60,2025-10-25,Pending,Debit Card,Pending
354,710,2026-03-26,Pending,Debit Card,Paid
355,280,2025-01-28,Cancelled,Cash,Failed
356,979,2026-04-12,Cancelled,UPI,Pending
357,543,2025-05-30,Completed,Net Banking,Paid
358,644,2026-01-28,Pending,UPI,Failed
359,172,2026-01-21,Cancelled,Debit Card,Failed
360,309,2026-02-14,Cancelled,Debit Card,Paid
361,594,2025-10-01,Cancelled,Credit Card,Paid
362,531,2025-03-12,Cancelled,Debit Card,Pending
363,349,2025-07-30,Pending,UPI,Paid
364,516,2025-03-21,Pending,Credit Card,Failed
365,707,2025-11-11,Completed,Cash,Pending
366,79,2026-04-15,Completed,Credit Card,Paid
367,357,2025-09-03,Cancelled,Debit Card,Paid
368,453,2026-02-23,Cancelled,Credit Card,Failed
369,30,2025-06-05,Completed,Credit Card,Paid
370,711,2026-03-15,Pending,Credit Card,Pending
371,215,2025-03-06,Pending,UPI,Pending
372,782,2025-12-20,Completed,UPI,Paid
373,496,2026-02-01,Shipped,UPI,Paid
374,34,2025-02-25,Completed,Cash,Paid
375,260,2026-04-11,Completed,UPI,Pending
376,11,2025-12-08,Completed,UPI,Failed
377,602,2025-04-16,Pending,Credit Card,Failed
378,30,2025-06-29,Completed,Credit Card,Failed
379,285,2026-04-28,Cancelled,Debit Card,Paid
380,513,2026-03-14,Pending,Net Banking,Failed
381,102,2025-02-04,Completed,Net Banking,Paid
382,197,2026-01-02,Cancelled,Credit Card,Failed
383,997,2025-01-03,Completed,Credit Card,Failed
384,725,2026-03-12,Shipped,Debit Card,Failed
385,190,2025-10-29,Shipped,UPI,Paid
386,364,2026-03-04,Shipped,Cash,Paid
387,234,2025-09-21,Shipped,UPI,Pending
388,478,2025-03-05,Completed,Net Banking,Paid
389,781,2025-09-11,Cancelled,Debit Card,Failed
390,42,2026-01-05,Completed,Debit Card,Pending
391,395,2025-03-01,Cancelled,Cash,Failed
392,320,2026-01-12,Shipped,Credit Card,Failed
393,298,2025-07-28,Shipped,Credit Card,Paid
394,862,2026-04-04,Shipped,Debit Card,Paid
395,691,2025-01-07,Shipped,UPI,Pending
396,536,2025-08-13,Completed,UPI,Paid
397,411,2025-07-22,Completed,Credit Card,Paid
398,999,2025-07-06,Pending,Debit Card,Paid
399,865,2025-11-01,Shipped,UPI,Paid
400,435,2026-03-06,Shipped,Debit Card,Failed
401,596,2026-01-28,Cancelled,Cash,Pending
402,683,2025-09-01,Shipped,Cash,Failed
403,151,2025-05-23,Shipped,UPI,Paid
404,502,2025-05-09,Shipped,Credit Card,Failed
405,138,2026-04-28,Completed,UPI,Failed
406,851,2025-01-28,Completed,Cash,Failed
407,996,2025-01-14,Pending,Cash,Failed
408,335,2025-12-14,Pending,Debit Card,Failed
409,99,2025-11-16,Completed,Net Banking,Pending
410,478,2026-02-10,Pending,Debit Card,Failed
411,503,2025-09-12,Cancelled,Net Banking,Pending
412,881,2026-02-19,Completed,UPI,Pending
413,937,2026-03-27,Completed,Cash,Pending
414,874,2025-06-11,Shipped,Cash,Pending
415,34,2025-01-19,Pending,Net Banking,Failed
416,799,2026-03-17,Cancelled,Credit Card,Pending
417,138,2025-08-09,Cancelled,Cash,Pending
418,113,2026-01-27,Shipped,Net Banking,Failed
419,586,2025-10-04,Shipped,Cash,Failed
420,161,2026-03-14,Completed,Cash,Pending
421,606,2025-09-11,Shipped,Net Banking,Failed
422,785,2025-06-30,Cancelled,Debit Card,Paid
423,605,2025-01-15,Completed,Credit Card,Pending
424,829,2025-06-28,Completed,Debit Card,Pending
425,439,2025-02-19,Cancelled,Debit Card,Pending
426,58,2025-06-29,Pending,Credit Card,Paid
427,320,2025-11-28,Completed,UPI,Pending
428,346,2025-02-28,Pending,UPI,Failed
429,39,2025-06-16,Shipped,Cash,Failed
430,924,2025-09-21,Shipped,Debit Card,Paid
431,481,2025-12-23,Completed,Debit Card,Pending
432,400,2025-10-20,Cancelled,Net Banking,Paid
433,501,2026-02-18,Completed,Credit Card,Pending
434,515,2025-09-12,Cancelled,Credit Card,Failed
435,373,2025-06-03,Shipped,Credit Card,Pending
436,868,2025-11-22,Completed,Net Banking,Paid
437,272,2025-05-28,Completed,Debit Card,Failed
438,824,2025-07-25,Pending,Net Banking,Failed
439,95,2026-05-06,Completed,Net Banking,Pending
440,69,2025-05-20,Shipped,Cash,Paid
441,815,2025-06-27,Completed,Debit Card,Failed
442,308,2026-02-16,Shipped,Net Banking,Pending
443,425,2025-04-13,Shipped,Debit Card,Failed
444,465,2025-09-21,Pending,UPI,Failed
445,529,2025-12-27,Pending,Net Banking,Pending
446,677,2025-04-20,Shipped,Debit Card,Failed
447,829,2025-09-30,Shipped,Net Banking,Failed
448,62,2025-11-17,Pending,Debit Card,Pending
449,247,2025-03-17,Pending,Debit Card,Pending
450,327,2025-07-30,Completed,Credit Card,Pending
451,844,2025-05-17,Cancelled,Credit Card,Pending
452,616,2025-12-18,Pending,Cash,Paid
453,154,2025-02-28,Pending,UPI,Paid
454,848,2026-02-13,Cancelled,Cash,Pending
455,447,2025-10-14,Shipped,UPI,Paid
456,280,2025-03-23,Pending,UPI,Pending
457,823,2026-02-09,Cancelled,Net Banking,Paid
458,873,2025-11-26,Completed,Cash,Paid
459,881,2025-01-29,Completed,Debit Card,Failed
460,888,2025-06-02,Completed,Cash,Pending
461,674,2025-12-10,Completed,Cash,Failed
462,144,2026-03-08,Pending,UPI,Failed
463,513,2026-01-12,Completed,Net Banking,Failed
464,595,2026-03-01,Cancelled,Cash,Paid
465,615,2025-05-02,Completed,Debit Card,Pending
466,599,2026-03-03,Shipped,Credit Card,Pending
467,148,2025-04-22,Completed,Credit Card,Paid
468,282,2026-05-12,Shipped,Cash,Pending
469,604,2026-03-18,Completed,Cash,Failed
470,717,2025-07-11,Completed,Debit Card,Failed
471,487,2025-08-05,Pending,Debit Card,Paid
472,487,2025-07-05,Cancelled,Debit Card,Paid
473,991,2025-11-27,Completed,UPI,Failed
474,808,2026-04-15,Pending,Debit Card,Failed
475,317,2025-07-16,Cancelled,UPI,Failed
476,243,2026-03-20,Shipped,Cash,Paid
477,984,2026-04-11,Shipped,Debit Card,Pending
478,959,2025-02-16,Pending,Debit Card,Paid
479,912,2026-03-17,Pending,Cash,Failed
480,901,2025-06-12,Shipped,UPI,Pending
481,83,2026-03-20,Shipped,Cash,Failed
482,949,2025-07-31,Cancelled,Cash,Paid
483,165,2026-02-27,Cancelled,Net Banking,Paid
484,431,2025-06-30,Cancelled,Cash,Failed
485,781,2025-01-15,Completed,Credit Card,Failed
486,811,2025-08-16,Pending,UPI,Pending
487,644,2025-04-13,Cancelled,Debit Card,Failed
488,114,2025-02-12,Pending,Credit Card,Failed
489,993,2026-01-01,Pending,Net Banking,Failed
490,812,2025-07-30,Cancelled,Cash,Pending
491,753,2026-03-24,Pending,Debit Card,Paid
492,608,2025-12-18,Cancelled,Debit Card,Paid
493,425,2025-02-13,Cancelled,Credit Card,Pending
494,387,2026-03-25,Pending,UPI,Paid
495,572,2026-04-18,Pending,UPI,Pending
496,269,2025-04-12,Pending,UPI,Pending
497,440,2025-11-13,Cancelled,Credit Card,Paid
498,377,2026-05-06,Pending,Net Banking,Paid
499,736,2025-01-08,Shipped,Cash,Failed
500,122,2025-09-11,Pending,Credit Card,Paid
501,883,2026-04-30,Cancelled,Debit Card,Failed
502,392,2025-09-11,Pending,Cash,Paid
503,221,2025-11-04,Cancelled,Credit Card,Pending
504,419,2025-04-03,Pending,UPI,Pending
505,269,2026-05-15,Pending,Net Banking,Pending
506,255,2026-04-10,Cancelled,Net Banking,Failed
507,470,2025-11-28,Completed,UPI,Pending
508,893,2025-03-10,Cancelled,Cash,Failed
509,731,2025-04-19,Shipped,Cash,Failed
510,263,2025-11-02,Completed,UPI,Failed
511,54,2025-01-31,Cancelled,Credit Card,Pending
512,363,2026-04-11,Completed,UPI,Pending
513,635,2025-09-16,Shipped,Debit Card,Pending
514,380,2025-12-10,Pending,Net Banking,Paid
515,184,2025-10-25,Cancelled,Credit Card,Failed
516,953,2025-09-10,Cancelled,Cash,Paid
517,325,2025-02-15,Shipped,Credit Card,Pending
518,321,2025-03-01,Completed,Credit Card,Pending
519,997,2026-03-23,Cancelled,Debit Card,Pending
520,925,2025-05-25,Cancelled,Net Banking,Pending
521,321,2025-09-22,Shipped,Credit Card,Pending
522,504,2026-01-13,Pending,Net Banking,Failed
523,818,2025-11-22,Shipped,UPI,Paid
524,56,2025-03-18,Pending,Credit Card,Paid
525,267,2025-08-29,Pending,Cash,Pending
526,917,2025-03-01,Shipped,UPI,Pending
527,727,2025-07-02,Shipped,Cash,Pending
528,867,2025-02-27,Pending,UPI,Pending
529,209,2025-02-17,Cancelled,Credit Card,Paid
530,521,2026-01-19,Cancelled,Net Banking,Failed
531,218,2025-10-27,Completed,Net Banking,Failed
532,427,2025-04-03,Completed,Credit Card,Pending
533,97,2025-12-13,Cancelled,UPI,Pending
534,697,2025-12-15,Completed,Cash,Pending
535,952,2025-10-30,Completed,Debit Card,Paid
536,84,2025-01-15,Shipped,Cash,Pending
537,979,2025-11-18,Cancelled,Net Banking,Failed
538,338,2025-01-03,Completed,Net Banking,Pending
539,971,2025-06-16,Pending,Credit Card,Paid
540,660,2026-02-15,Cancelled,Debit Card,Paid
541,73,2026-01-16,Shipped,UPI,Pending
542,183,2025-05-11,Pending,Cash,Paid
543,873,2025-01-11,Pending,Credit Card,Pending
544,413,2026-02-04,Cancelled,Credit Card,Paid
545,503,2025-06-02,Shipped,Debit Card,Failed
546,135,2025-11-05,Cancelled,UPI,Pending
547,205,2025-09-20,Shipped,Cash,Pending
548,275,2025-09-01,Shipped,UPI,Pending
549,378,2026-02-20,Pending,Cash,Failed
550,96,2025-08-07,Completed,Net Banking,Pending
551,475,2026-05-14,Pending,Credit Card,Pending
552,645,2025-09-27,Completed,Debit Card,Pending
553,82,2025-08-12,Shipped,Debit Card,Paid
554,701,2025-03-07,Cancelled,Credit Card,Failed
555,303,2025-08-07,Completed,Net Banking,Paid
556,47,2026-04-15,Completed,Net Banking,Pending
557,97,2025-07-31,Shipped,Net Banking,Pending
558,261,2025-07-01,Completed,Net Banking,Paid
559,759,2025-02-28,Shipped,Credit Card,Paid
