order_item_id,order_id,product_id,quantity,unit_price,total_amount
79,35,148,2,92685.24,185370.48
80,36,404,7,39882.93,279180.51
81,36,79,7,36073.98,252517.86
82,36,14,8,68599.11,548792.88
83,37,53,6,16905.91,101435.46
84,38,132,6,84385.91,506315.46
85,39,10,7,25573.87,179017.09
86,39,49,7,17118.51,119829.57
87,40,106,9,55135.33,496217.97
88,40,435,3,74476.01,223428.03
89,41,70,3,772.43,2317.29
90,41,437,5,53137.57,265687.85
91,42,17,6,15417.96,92507.76
92,43,445,3,50716.93,152150.79
93,43,301,3,69572.09,208716.27
94,44,25,7,30369.39,212585.73
95,44,191,3,16054.19,48162.57
96,45,49,10,17118.51,171185.1
97,46,436,2,79527.83,159055.66
98,47,389,4,22110.21,88440.84
99,48,274,4,75619.7,302478.8
100,48,158,10,15793.49,157934.9
101,48,108,2,56452.09,112904.18
102,49,117,3,12514.21,37542.63
103,49,329,6,34638.1,207828.6
104,50,265,2,42836.19,85672.38
105,50,194,4,95760.47,383041.88
106,51,125,10,17778.2,177782.0
107,51,376,5,23505.93,117529.65
108,52,427,5,66059.66,330298.3
109,52,441,6,62719.84,376319.04
110,52,211,3,84090.95,252272.85
111,53,156,9,26791.84,241126.56
112,53,96,7,83983.79,587886.53
113,54,396,10,20318.4,203184.0
114,54,412,8,73452.29,587618.32
115,54,153,7,29770.68,208394.76
116,55,89,5,92079.6,460398.0
117,56,220,1,36898.95,36898.95
118,56,99,10,7949.09,79490.9
119,56,138,6,57278.5,343671.0
120,56,90,4,5074.25,20297.0
121,57,385,8,19185.05,153480.4
122,57,233,4,65540.69,262162.76
123,57,326,5,38253.09,191265.45
124,57,344,10,2473.62,24736.2
125,58,91,4,70604.53,282418.12
126,58,319,6,49335.13,296010.78
127,58,242,7,67685.33,473797.31
128,59,172,3,91177.92,273533.76
129,60,492,6,52564.96,315389.76
130,60,207,10,66112.51,661125.1
131,60,190,2,39813.77,79627.54
132,60,417,5,86832.35,434161.75
133,61,392,3,27017.11,81051.33
134,61,460,6,57263.47,343580.82
135,61,200,4,19835.46,79341.84
136,61,492,9,52564.96,473084.64
137,62,318,7,49487.87,346415.09
138,63,154,6,96266.29,577597.74
139,63,54,4,23227.62,92910.48
140,63,137,4,76197.11,304788.44
141,63,243,7,16544.0,115808.0
142,64,82,8,27547.39,220379.12
143,64,148,5,92685.24,463426.2
144,64,450,7,76687.97,536815.79
145,65,369,6,90937.85,545627.1
146,65,163,4,78732.69,314930.76
147,65,342,9,45260.55,407344.95
148,65,120,10,12760.31,127603.1
149,66,66,10,20265.34,202653.4
150,66,391,9,8482.2,76339.8
151,66,325,6,31907.3,191443.8
152,66,451,4,96184.35,384737.4
153,67,149,7,96600.4,676202.8
154,67,104,8,44983.28,359866.24
155,68,153,6,29770.68,178624.08
156,68,53,8,16905.91,135247.28
157,69,81,8,18695.51,149564.08
158,70,487,9,74088.37,666795.33
159,70,101,4,22659.3,90637.2
160,70,382,6,41583.94,249503.64
161,70,321,5,5887.74,29438.7
162,71,482,5,19453.73,97268.65
163,71,338,7,72195.75,505370.25
164,72,257,4,82738.16,330952.64
165,72,384,10,45550.34,455503.4
166,72,220,1,36898.95,36898.95
167,73,402,9,23978.6,215807.4
168,73,52,3,99615.82,298847.46
169,73,202,5,64645.11,323225.55
170,73,375,10,76703.99,767039.9
171,74,303,10,68318.67,683186.7
172,74,328,9,26653.48,239881.32
173,74,122,2,931.59,1863.18
174,74,316,7,1159.06,8113.42
175,75,182,4,7508.99,30035.96
176,76,52,7,99615.82,697310.74
177,77,356,2,72913.36,145826.72
178,77,237,1,50432.78,50432.78
179,78,12,4,1231.08,4924.32
180,78,255,8,23366.47,186931.76
181,79,195,8,14566.7,116533.6
182,79,31,3,85195.78,255587.34
183,80,483,2,77083.29,154166.58
184,81,275,8,48505.54,388044.32
185,81,315,9,92058.72,828528.48
186,81,217,1,81357.92,81357.92
187,82,198,5,41559.12,207795.6
188,82,375,10,76703.99,767039.9
189,83,61,2,70335.89,140671.78
190,83,68,5,16457.17,82285.85
191,84,402,5,23978.6,119893.0
192,84,101,8,22659.3,181274.4
193,84,304,7,48456.03,339192.21
194,84,394,3,82911.08,248733.24
195,85,329,3,34638.1,103914.3
196,85,143,10,15069.62,150696.2
197,85,430,3,65963.17,197889.51
198,86,432,7,71925.6,503479.2
199,86,360,4,76617.14,306468.56
200,86,152,4,54888.21,219552.84
201,86,177,10,67198.35,671983.5
202,87,236,3,79369.42,238108.26
203,88,6,10,47672.67,476726.7
204,88,111,5,47576.8,237884.0
205,88,203,9,25443.42,228990.78
206,89,342,2,45260.55,90521.1
207,90,329,7,34638.1,242466.7
208,90,212,5,46553.41,232767.05
209,91,46,1,2282.65,2282.65
210,91,318,7,49487.87,346415.09
211,91,210,9,71363.81,642274.29
212,91,232,4,58073.83,232295.32
213,92,169,10,91901.43,919014.3
214,92,113,2,34465.03,68930.06
215,93,54,7,23227.62,162593.34
216,94,87,6,61326.65,367959.9
217,95,59,7,5299.39,37095.73
218,96,291,5,97576.77,487883.85
219,96,309,10,55677.87,556778.7
220,97,390,2,99797.36,199594.72
221,98,116,5,11142.67,55713.35
222,98,119,5,11222.69,56113.45
223,99,244,7,24745.2,173216.4
224,99,470,8,15743.15,125945.2
225,100,490,5,45281.13,226405.65
226,100,352,9,32029.39,288264.51
227,101,145,1,10696.76,10696.76
228,102,46,2,2282.65,4565.3
229,102,373,7,29032.84,203229.88
230,102,32,8,58241.15,465929.2
231,103,20,5,65712.36,328561.8
232,103,38,9,49014.29,441128.61
233,104,54,7,23227.62,162593.34
234,105,500,5,97989.39,489946.95
235,106,396,1,20318.4,20318.4
236,107,435,5,74476.01,372380.05
237,108,458,1,14271.62,14271.62
238,108,467,3,92900.99,278702.97
239,109,437,7,53137.57,371962.99
240,109,214,9,84258.4,758325.6
241,109,475,1,8965.36,8965.36
242,109,61,2,70335.89,140671.78
243,110,127,5,50658.96,253294.8
244,111,63,4,62468.38,249873.52
245,111,489,5,34655.5,173277.5
246,112,155,3,38031.22,114093.66
247,112,284,1,8463.95,8463.95
248,112,134,4,71581.26,286325.04
249,113,102,1,81801.78,81801.78
250,113,39,8,63632.65,509061.2
251,113,218,10,21669.69,216696.9
252,114,249,10,94751.76,947517.6
253,115,106,9,55135.33,496217.97
254,116,31,8,85195.78,681566.24
255,116,41,2,76566.13,153132.26
256,116,166,2,36399.38,72798.76
257,116,404,8,39882.93,319063.44
258,117,105,3,10713.01,32139.03
259,118,299,5,29778.06,148890.3
260,119,70,5,772.43,3862.15
261,120,343,9,36350.5,327154.5
262,120,445,9,50716.93,456452.37
263,120,3,2,85455.22,170910.44
264,120,83,5,65060.23,325301.15
265,121,62,3,42376.71,127130.13
266,122,436,3,79527.83,238583.49
267,122,324,8,97662.47,781299.76
268,122,154,2,96266.29,192532.58
269,122,163,10,78732.69,787326.9
270,123,497,8,46763.6,374108.8
271,123,224,9,75842.0,682578.0
272,124,252,7,79564.3,556950.1
273,124,195,4,14566.7,58266.8
274,124,151,10,91192.89,911928.9
275,125,123,9,93563.17,842068.53
276,126,20,8,65712.36,525698.88
277,127,315,7,92058.72,644411.04
278,127,497,2,46763.6,93527.2
279,127,57,10,87716.14,877161.4
280,128,87,3,61326.65,183979.95
281,128,128,2,91633.07,183266.14
282,128,329,6,34638.1,207828.6
283,129,450,4,76687.97,306751.88
284,129,25,2,30369.39,60738.78
285,129,39,6,63632.65,381795.9
286,130,170,7,38446.57,269125.99
287,130,27,10,72656.07,726560.7
288,131,495,2,25917.91,51835.82
289,131,339,7,25471.92,178303.44
290,131,95,9,34902.07,314118.63
291,131,199,5,16514.96,82574.8
292,132,173,3,80380.27,241140.81
293,132,86,8,80325.35,642602.8
294,132,166,5,36399.38,181996.9
295,133,2,3,28864.4,86593.2
296,134,145,2,10696.76,21393.52
297,134,250,8,99281.19,794249.52
298,134,369,10,90937.85,909378.5
299,135,267,6,87738.25,526429.5
300,135,270,7,65627.34,459391.38
301,135,469,7,56708.83,396961.81
302,136,260,10,9772.4,97724.0
303,136,292,4,35636.2,142544.8
304,136,487,1,74088.37,74088.37
305,137,190,2,39813.77,79627.54
306,138,222,7,39980.12,279860.84
307,138,232,4,58073.83,232295.32
308,138,179,6,64832.84,388997.04
309,139,399,3,63101.84,189305.52
310,139,259,3,87836.39,263509.17
311,139,152,8,54888.21,439105.68
312,140,234,3,51907.96,155723.88
313,141,207,6,66112.51,396675.06
314,141,69,7,68976.29,482834.03
315,141,390,6,99797.36,598784.16
316,141,335,1,80103.73,80103.73
317,142,196,8,59867.16,478937.28
318,142,448,1,76536.34,76536.34
319,142,5,1,65332.94,65332.94
320,143,151,5,91192.89,455964.45
321,144,430,4,65963.17,263852.68
322,145,420,7,571.62,4001.34
323,146,441,9,62719.84,564478.56
324,146,93,8,52548.77,420390.16
325,146,134,2,71581.26,143162.52
326,146,21,1,40757.59,40757.59
327,147,496,7,79024.26,553169.82
328,148,278,5,74907.51,374537.55
329,148,307,2,1467.46,2934.92
330,148,31,8,85195.78,681566.24
331,148,345,3,20296.33,60888.99
332,149,4,7,64914.3,454400.1
333,149,242,3,67685.33,203055.99
334,150,257,2,82738.16,165476.32
335,150,369,2,90937.85,181875.7
336,151,446,3,99844.14,299532.42
337,151,406,3,15921.7,47765.1
338,151,338,4,72195.75,288783.0
339,152,283,3,9270.0,27810.0
340,152,76,3,85298.74,255896.22
341,153,146,9,74370.07,669330.63
342,153,7,5,80186.05,400930.25
343,154,168,4,67059.38,268237.52
344,154,444,6,17097.53,102585.18
345,154,80,10,87908.32,879083.2
346,154,270,10,65627.34,656273.4
347,155,17,2,15417.96,30835.92
348,155,1,1,34752.78,34752.78
349,155,140,9,52511.63,472604.67
350,156,232,2,58073.83,116147.66
351,156,310,4,35677.02,142708.08
352,156,411,6,78961.9,473771.4
353,157,361,2,62001.17,124002.34
354,158,178,1,83648.68,83648.68
355,158,342,6,45260.55,271563.3
356,159,164,8,53935.08,431480.64
357,159,496,3,79024.26,237072.78
358,160,393,9,47279.6,425516.4
359,160,330,10,21447.98,214479.8
360,161,473,1,13652.81,13652.81
361,161,423,7,32409.06,226863.42
362,162,61,6,70335.89,422015.34
363,162,328,8,26653.48,213227.84
364,162,359,9,5855.63,52700.67
365,163,307,8,1467.46,11739.68
366,164,15,9,98841.92,889577.28
367,164,66,1,20265.34,20265.34
368,165,13,5,64910.54,324552.7
369,166,319,5,49335.13,246675.65
370,167,125,10,17778.2,177782.0
371,167,155,6,38031.22,228187.32
372,167,40,3,21333.55,64000.65
373,168,477,5,49042.18,245210.9
374,169,241,8,81211.68,649693.44
375,169,285,5,61589.58,307947.9
376,169,210,3,71363.81,214091.43
377,170,90,2,5074.25,10148.5
378,171,12,4,1231.08,4924.32
379,171,198,6,41559.12,249354.72
380,172,468,1,30825.95,30825.95
381,172,287,4,44177.72,176710.88
382,172,329,8,34638.1,277104.8
383,172,364,9,3342.84,30085.56
384,173,342,3,45260.55,135781.65
385,174,114,10,52437.52,524375.2
386,175,129,4,40088.06,160352.24
387,175,477,7,49042.18,343295.26
388,175,470,10,15743.15,157431.5
389,175,463,10,59725.5,597255.0
390,176,164,6,53935.08,323610.48
391,177,491,8,74131.29,593050.32
392,177,177,6,67198.35,403190.1
393,177,469,10,56708.83,567088.3
394,178,358,9,6847.34,61626.06
395,178,394,5,82911.08,414555.4
396,178,11,3,82518.93,247556.79
397,179,428,7,87412.53,611887.71
398,180,291,5,97576.77,487883.85
399,180,327,6,61471.42,368828.52
400,180,26,3,29731.51,89194.53
401,180,354,9,74915.6,674240.4
402,181,8,1,80606.01,80606.01
403,181,194,7,95760.47,670323.29
404,181,35,6,14167.84,85007.04
405,181,373,7,29032.84,203229.88
406,182,124,5,92474.9,462374.5
407,182,120,6,12760.31,76561.86
408,182,232,8,58073.83,464590.64
409,182,388,1,23664.64,23664.64
410,183,205,6,10454.48,62726.88
411,184,228,2,4759.44,9518.88
412,184,213,4,55391.35,221565.4
413,185,340,10,40140.99,401409.9
414,185,287,9,44177.72,397599.48
415,185,36,1,98725.56,98725.56
416,185,154,3,96266.29,288798.87
417,186,113,9,34465.03,310185.27
418,186,326,5,38253.09,191265.45
419,186,11,4,82518.93,330075.72
420,187,371,3,41514.28,124542.84
421,187,205,10,10454.48,104544.8
422,187,316,7,1159.06,8113.42
423,187,315,5,92058.72,460293.6
424,188,155,8,38031.22,304249.76
425,188,236,3,79369.42,238108.26
426,188,397,6,66767.78,400606.68
427,189,273,5,56684.69,283423.45
428,190,124,3,92474.9,277424.7
429,190,381,5,28825.35,144126.75
430,191,109,9,36652.58,329873.22
431,191,155,1,38031.22,38031.22
432,192,141,2,5779.97,11559.94
433,193,364,6,3342.84,20057.04
434,193,65,6,12214.59,73287.54
435,193,158,4,15793.49,63173.96
436,193,57,7,87716.14,614012.98
437,194,168,9,67059.38,603534.42
438,195,162,10,22386.22,223862.2
439,195,235,1,40881.3,40881.3
440,195,145,7,10696.76,74877.32
441,196,428,10,87412.53,874125.3
442,196,256,7,2147.98,15035.86
443,197,84,5,13684.9,68424.5
444,198,189,1,28510.99,28510.99
445,198,232,4,58073.83,232295.32
446,199,114,3,52437.52,157312.56
447,199,337,10,13879.93,138799.3
448,200,346,6,97947.63,587685.78
449,200,308,3,29085.31,87255.93
450,200,150,4,20707.18,82828.72
451,201,165,9,88397.98,795581.82
452,202,269,4,52492.79,209971.16
453,202,199,1,16514.96,16514.96
454,203,11,3,82518.93,247556.79
455,203,467,10,92900.99,929009.9
456,203,425,7,15836.09,110852.63
457,204,95,10,34902.07,349020.7
458,204,464,10,38463.84,384638.4
459,204,452,2,72768.17,145536.34
460,204,354,8,74915.6,599324.8
461,205,51,5,52649.71,263248.55
462,205,249,3,94751.76,284255.28
463,206,425,1,15836.09,15836.09
464,206,68,5,16457.17,82285.85
465,207,209,8,17279.63,138237.04
466,208,464,6,38463.84,230783.04
467,208,62,4,42376.71,169506.84
468,209,461,7,72496.26,507473.82
469,209,208,10,56772.42,567724.2
470,210,244,1,24745.2,24745.2
471,210,440,7,19351.31,135459.17
472,211,65,6,12214.59,73287.54
473,211,420,1,571.62,571.62
474,212,63,4,62468.38,249873.52
475,212,430,10,65963.17,659631.7
476,213,257,5,82738.16,413690.8
477,213,24,9,90699.39,816294.51
478,214,4,1,64914.3,64914.3
479,214,95,7,34902.07,244314.49
480,214,78,2,85273.87,170547.74
481,215,55,10,73540.62,735406.2
482,216,330,4,21447.98,85791.92
483,216,125,6,17778.2,106669.2
484,217,251,8,22326.7,178613.6
485,217,310,2,35677.02,71354.04
486,218,2,1,28864.4,28864.4
487,219,95,10,34902.07,349020.7
488,220,221,3,13821.19,41463.57
489,220,51,3,52649.71,157949.13
490,220,193,6,96033.36,576200.16
491,221,367,8,59287.68,474301.44
492,221,368,2,52584.25,105168.5
493,221,347,9,67482.69,607344.21
494,221,144,6,75482.6,452895.6
495,222,497,1,46763.6,46763.6
496,222,308,8,29085.31,232682.48
497,222,159,10,77479.26,774792.6
498,223,117,5,12514.21,62571.05
499,223,1,6,34752.78,208516.68
500,224,70,4,772.43,3089.72
501,224,381,2,28825.35,57650.7
502,225,334,9,43505.77,391551.93
503,225,322,2,93995.61,187991.22
504,225,240,5,71871.62,359358.1
505,225,239,6,15448.92,92693.52
506,226,149,4,96600.4,386401.6
507,226,226,8,93947.94,751583.52
508,226,376,1,23505.93,23505.93
509,226,148,2,92685.24,185370.48
510,227,484,4,82247.61,328990.44
511,227,388,10,23664.64,236646.4
512,227,181,2,7788.18,15576.36
513,228,344,8,2473.62,19788.96
514,229,220,7,36898.95,258292.65
515,229,497,6,46763.6,280581.6
516,229,216,1,89264.47,89264.47
517,229,365,6,86491.99,518951.94
518,230,338,7,72195.75,505370.25
519,230,242,2,67685.33,135370.66
520,231,14,10,68599.11,685991.1
521,231,402,3,23978.6,71935.8
522,232,421,6,73498.95,440993.7
523,233,281,2,39215.82,78431.64
524,233,29,10,74548.89,745488.9
525,233,209,1,17279.63,17279.63
526,233,340,3,40140.99,120422.97
527,234,126,2,39046.86,78093.72
528,234,36,7,98725.56,691078.92
529,235,321,8,5887.74,47101.92
530,235,281,1,39215.82,39215.82
531,235,349,7,86891.64,608241.48
532,235,475,8,8965.36,71722.88
533,236,105,3,10713.01,32139.03
534,236,172,4,91177.92,364711.68
535,236,126,8,39046.86,312374.88
536,236,70,2,772.43,1544.86
537,237,300,3,87673.25,263019.75
538,237,80,7,87908.32,615358.24
539,237,37,9,31980.15,287821.35
540,238,332,7,57355.27,401486.89
541,238,263,4,43181.15,172724.6
542,238,189,8,28510.99,228087.92
543,239,43,5,43188.03,215940.15
544,240,311,4,18687.05,74748.2
545,240,160,1,49309.82,49309.82
546,241,15,4,98841.92,395367.68
547,242,426,4,64269.94,257079.76
548,242,173,10,80380.27,803802.7
549,242,396,9,20318.4,182865.6
550,242,466,10,93059.49,930594.9
551,243,448,2,76536.34,153072.68
552,243,125,4,17778.2,71112.8
553,244,133,6,63442.04,380652.24
554,244,224,10,75842.0,758420.0
555,245,195,8,14566.7,116533.6
556,245,314,9,35924.72,323322.48
557,245,107,5,96335.54,481677.7
558,245,65,2,12214.59,24429.18
559,246,338,8,72195.75,577566.0
560,246,284,7,8463.95,59247.65
561,246,104,6,44983.28,269899.68
562,246,411,10,78961.9,789619.0
563,247,452,6,72768.17,436609.02
564,248,471,3,75407.6,226222.8
565,248,269,1,52492.79,52492.79
566,249,51,5,52649.71,263248.55
567,250,418,7,7353.22,51472.54
568,251,84,7,13684.9,95794.3
569,251,359,5,5855.63,29278.15
570,251,220,3,36898.95,110696.85
571,252,228,4,4759.44,19037.76
572,252,444,6,17097.53,102585.18
573,252,407,2,16191.0,32382.0
574,252,449,3,24451.89,73355.67
575,253,94,6,43568.37,261410.22
576,253,144,4,75482.6,301930.4
577,253,162,4,22386.22,89544.88
578,253,483,8,77083.29,616666.32
579,254,345,7,20296.33,142074.31
580,254,201,10,85213.08,852130.8
581,254,161,8,7751.64,62013.12
582,255,134,5,71581.26,357906.3
583,255,271,10,36545.84,365458.4
584,255,226,7,93947.94,657635.58
585,255,262,3,42358.06,127074.18
586,256,143,10,15069.62,150696.2
587,256,417,5,86832.35,434161.75
588,257,426,5,64269.94,321349.7
589,257,62,7,42376.71,296636.97
590,257,12,3,1231.08,3693.24
591,258,3,10,85455.22,854552.2
592,258,491,3,74131.29,222393.87
593,258,212,10,46553.41,465534.1
594,259,168,6,67059.38,402356.28
595,259,197,2,30816.77,61633.54
596,259,274,3,75619.7,226859.1
597,259,476,1,76322.28,76322.28
598,260,393,7,47279.6,330957.2
599,260,65,8,12214.59,97716.72
600,260,385,3,19185.05,57555.15
601,260,230,10,4470.52,44705.2
602,261,379,1,22448.95,22448.95
603,261,164,10,53935.08,539350.8
604,262,300,5,87673.25,438366.25
605,262,399,3,63101.84,189305.52
606,262,111,2,47576.8,95153.6
607,262,132,3,84385.91,253157.73
608,263,155,7,38031.22,266218.54
609,264,462,3,49083.5,147250.5
610,264,3,4,85455.22,341820.88
611,264,96,5,83983.79,419918.95
612,265,237,1,50432.78,50432.78
613,265,282,5,82413.92,412069.6
614,265,439,6,10571.9,63431.4
615,265,354,8,74915.6,599324.8
616,266,440,2,19351.31,38702.62
617,266,450,9,76687.97,690191.73
618,266,71,5,83605.6,418028.0
619,266,192,1,79778.66,79778.66
620,267,13,10,64910.54,649105.4
621,267,105,9,10713.01,96417.09
622,267,118,3,45976.08,137928.24
623,267,333,2,72221.14,144442.28
624,268,232,3,58073.83,174221.49
625,268,285,4,61589.58,246358.32
626,268,349,4,86891.64,347566.56
627,269,331,1,85505.45,85505.45
628,269,375,10,76703.99,767039.9
629,269,451,5,96184.35,480921.75
630,269,80,6,87908.32,527449.92
631,270,368,7,52584.25,368089.75
632,271,205,1,10454.48,10454.48
633,271,393,7,47279.6,330957.2
634,271,374,4,94722.27,378889.08
635,271,228,7,4759.44,33316.08
636,272,344,9,2473.62,22262.58
637,272,72,7,94969.88,664789.16
638,273,3,2,85455.22,170910.44
639,273,58,3,5334.4,16003.2
640,274,14,1,68599.11,68599.11
641,274,421,9,73498.95,661490.55
642,275,258,3,47848.98,143546.94
643,275,471,7,75407.6,527853.2
644,275,138,5,57278.5,286392.5
645,276,105,4,10713.01,42852.04
646,276,386,7,96986.76,678907.32
647,277,346,9,97947.63,881528.67
648,277,296,3,60833.16,182499.48
649,277,196,9,59867.16,538804.44
650,277,12,10,1231.08,12310.8
651,278,256,2,2147.98,4295.96
652,278,371,4,41514.28,166057.12
653,278,379,7,22448.95,157142.65
654,278,327,1,61471.42,61471.42
655,279,328,10,26653.48,266534.8
656,279,347,5,67482.69,337413.45
657,279,130,7,80577.28,564040.96
658,280,13,6,64910.54,389463.24
659,280,288,7,19877.28,139140.96
660,281,291,1,97576.77,97576.77
661,281,367,2,59287.68,118575.36
662,281,427,4,66059.66,264238.64
663,282,134,6,71581.26,429487.56
664,282,319,2,49335.13,98670.26
665,283,192,1,79778.66,79778.66
666,283,26,2,29731.51,59463.02
667,284,461,6,72496.26,434977.56
668,285,201,6,85213.08,511278.48
669,285,57,9,87716.14,789445.26
670,285,244,1,24745.2,24745.2
671,286,111,9,47576.8,428191.2
672,287,147,5,51336.77,256683.85
673,288,32,5,58241.15,291205.75
674,289,140,4,52511.63,210046.52
675,290,179,7,64832.84,453829.88
676,291,458,4,14271.62,57086.48
677,291,261,6,54158.96,324953.76
678,291,175,4,51632.52,206530.08
679,291,39,9,63632.65,572693.85
680,292,141,9,5779.97,52019.73
681,293,245,8,16532.35,132258.8
682,293,159,6,77479.26,464875.56
683,294,259,1,87836.39,87836.39
684,294,26,10,29731.51,297315.1
685,294,101,1,22659.3,22659.3
686,295,473,7,13652.81,95569.67
687,296,196,2,59867.16,119734.32
688,296,145,8,10696.76,85574.08
689,296,230,8,4470.52,35764.16
690,297,19,10,66222.77,662227.7
691,297,47,1,69505.71,69505.71
692,297,493,3,62492.68,187478.04
693,298,405,7,58317.16,408220.12
694,298,467,10,92900.99,929009.9
695,298,337,9,13879.93,124919.37
696,298,53,9,16905.91,152153.19
697,299,248,2,60136.07,120272.14
698,299,360,7,76617.14,536319.98
699,300,55,6,73540.62,441243.72
700,301,218,2,21669.69,43339.38
701,301,410,2,13019.83,26039.66
702,301,265,10,42836.19,428361.9
703,301,217,10,81357.92,813579.2
704,302,424,6,19392.01,116352.06
705,302,426,10,64269.94,642699.4
706,302,198,9,41559.12,374032.08
707,302,225,4,18324.95,73299.8
708,303,82,2,27547.39,55094.78
709,303,212,8,46553.41,372427.28
710,304,369,6,90937.85,545627.1
711,305,171,9,26030.76,234276.84
712,306,192,5,79778.66,398893.3
713,306,98,6,84960.13,509760.78
714,307,302,6,77111.74,462670.44
715,308,168,9,67059.38,603534.42
716,308,226,6,93947.94,563687.64
717,308,362,4,23320.92,93283.68
718,308,77,6,73984.75,443908.5
719,309,127,10,50658.96,506589.6
720,309,297,9,57703.22,519328.98
721,310,145,7,10696.76,74877.32
722,310,82,7,27547.39,192831.73
723,311,49,8,17118.51,136948.08
724,311,240,6,71871.62,431229.72
725,312,35,6,14167.84,85007.04
726,313,476,9,76322.28,686900.52
727,313,218,8,21669.69,173357.52
728,313,220,10,36898.95,368989.5
729,314,3,4,85455.22,341820.88
730,314,418,1,7353.22,7353.22
731,315,404,6,39882.93,239297.58
732,315,264,4,35376.52,141506.08
733,316,462,8,49083.5,392668.0
734,316,423,3,32409.06,97227.18
735,317,387,9,28570.4,257133.6
736,317,197,4,30816.77,123267.08
737,317,221,5,13821.19,69105.95
738,317,304,6,48456.03,290736.18
739,318,327,6,61471.42,368828.52
740,319,85,6,10819.45,64916.7
741,320,448,6,76536.34,459218.04
742,320,266,5,91053.49,455267.45
743,321,55,9,73540.62,661865.58
744,321,496,8,79024.26,632194.08
745,321,123,4,93563.17,374252.68
746,321,3,1,85455.22,85455.22
747,322,65,1,12214.59,12214.59
748,322,454,8,30383.23,243065.84
749,322,370,4,80568.42,322273.68
750,322,432,9,71925.6,647330.4
751,323,487,8,74088.37,592706.96
752,323,248,8,60136.07,481088.56
753,324,471,2,75407.6,150815.2
754,324,383,2,14094.09,28188.18
755,324,487,9,74088.37,666795.33
756,324,387,5,28570.4,142852.0
757,325,164,8,53935.08,431480.64
758,325,66,9,20265.34,182388.06
759,326,102,1,81801.78,81801.78
760,326,1,1,34752.78,34752.78
761,326,400,8,12653.08,101224.64
762,326,309,2,55677.87,111355.74
763,327,38,3,49014.29,147042.87
764,327,25,5,30369.39,151846.95
765,328,100,5,33424.04,167120.2
766,328,152,8,54888.21,439105.68
767,329,455,1,2659.29,2659.29
768,329,348,6,38416.56,230499.36
769,330,435,8,74476.01,595808.08
770,330,421,8,73498.95,587991.6
771,330,355,2,17148.15,34296.3
772,330,340,10,40140.99,401409.9
773,331,479,10,24610.35,246103.5
774,331,62,8,42376.71,339013.68
775,331,348,2,38416.56,76833.12
